Author,ItemID(LIsting_id),diff
Jiahao,44021641588 ,1
Jiahao,18999829018 ,1
Jiahao,24596036343 ,8
Jiahao,45219159638 ,1
Jiahao,40565901878 ,bundle_index = 4 does not exist
Jiahao,36613205733 ,9
Jiahao,41599133465 ,bundle_index = 4 does not exist
Jiahao,43859660891 ,2
Jiahao,38708270318 ,4
Jiahao,35540978058 ,5
Jiahao,26519380192 ,9
Jiahao,521513506795 ,7
Jiahao,18053093587 ,8
Jiahao,42468840454 ,4
Jiahao,522033862841 ,2
Jiahao,521870063421 ,3
Jiahao,522097809685 ,8
Jiahao,523776961013 ,6
Jiahao,16831203027 ,10
Jiahao,19999809846 ,7
Jiahao,20167630571 ,8
Jiahao,27462844289 ,3
Jiahao,36910165248 ,7
Jiahao,37994506504 ,4
Jiahao,38663832002 ,4
Jiahao,39237426326 ,3
Jiahao,41802068265 ,9
Jiahao,43168072227 ,12
Jiahao,43736454825 ,10
Jiahao,44231886556 ,17
Jiahao,44799642380 ,2
Jiahao,45293052304 ,3
Jiahao,45410114111 ,4
Jiahao,522145128789 ,4
Jiahao,523084126902 ,1
Jiahao,18820622609 ,bundle_index = 4 does not exist
Jiahao,20186366493 ,1
Jiahao,20373091017 ,bundle_index = 4 does not exist
Jiahao,20728727154 ,9
Jiahao,23896264169 ,7
Jiahao,24319152517 ,12
Jiahao,35674260254 ,2
Jiahao,36982442137 ,18
Jiahao,37745552927 ,11
Jiahao,37870465778 ,bundle_index = 4 does not exist
Jiahao,40112687054 ,bundle_index = 1 does not exist
Jiahao,40148868087 ,2
Jiahao,40175359932 ,1
Jiahao,42981617542 ,8
Jiahao,44069100271 ,1
Jiahao,522086451970 ,4
Jiahao,522743875767 ,2
Jiahao,42681494957 ,13
Jiahao,37443266749 ,1
Jiahao,43452978184 ,6
Jiahao,25673844634 ,8
Jiahao,23924620234 ,19
Jiahao,40452911197 ,2
Jiahao,43853759026 ,1
Jiahao,44881048637 ,11
Jiahao,522863996797 ,1
Jiahao,36513357018 ,12
Jiahao,18352298789 ,4
Jiahao,37241107923 ,bundle_index = 4 does not exist
Jiahao,23969324559 ,13
Jiahao,24291960195 ,7
Jiahao,43426870825 ,5
Jiahao,38631814095 ,bundle_index = 4 does not exist
Jiahao,36574928690 ,7
Jiahao,44331296085 ,bundle_index = 4 does not exist
Jiahao,37908516066 ,bundle_index = 1 does not exist
Jiahao,41583985792 ,bundle_index = 1 does not exist
Jiahao,35557065616 ,bundle_index = 1 does not exist
Jiahao,43473279886 ,1
